0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:42:34 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:43:42 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:44:09 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:45:00 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 466
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:45:12 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:45:21 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:46:12 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:55:24 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:56:11 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:56:50 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 481
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:57:05 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [29/Apr/2021:16:57:36 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:00:55 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:02:50 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:03:15 +0900] "GET /21.04.29/ex02.html HTTP/1.1" 200 554
